term_str,term_rank,n,p,i,n_chars,max_pos_group,max_pos,n_pos_group,n_pos,stop,porter_stem,df,idf,dfidf
,1,74801,0.0953091453508744,3.391241535772527,0,",",",",23,34,0,,31560,0.9246755469117847,29182.760260535924
i,2,28987,0.03693434842162265,4.7588930632453375,1,PR,PRP,4,8,1,i,18049,1.7308538450679518,31240.18104963146
you,3,24251,0.030899882139330426,5.016254854471217,3,PR,PRP,10,16,1,you,17563,1.770233454345829,31090.610158675794
the,4,17704,0.022557895072149843,5.470223736871809,3,DT,DT,11,13,1,the,12355,2.2776777415964586,28140.708497424246
to,5,16610,0.02116395374765075,5.562247019823082,2,TO,TO,6,7,1,to,12134,2.303717535779689,27953.308579150744
a,6,15168,0.019326601471665657,5.693268223774561,1,DT,DT,6,8,1,a,11344,2.4008433145730894,27235.166560517126
it,7,13375,0.0170420157359921,5.874760201609586,2,PR,PRP,7,8,1,it,10291,2.54138957324375,26153.44009825143
s,8,13175,0.016787181855827733,5.89649613126088,1,VB,VBZ,5,9,1,s,10450,2.5192698099569983,26326.36951405063
and,9,11136,0.014189150447552002,6.139067976824092,3,CC,CC,7,8,1,and,7964,2.911207626092103,23184.85753419751
that,10,11043,0.014070652693275572,6.151166937567603,4,DT,DT,10,14,1,that,8986,2.7370217852891674,24594.87776260846
is,11,8632,0.010998630267894117,6.506532323184803,2,VB,VBZ,5,9,1,is,7150,3.0667576052594914,21927.316877605364
do,12,8102,0.010323320485458542,6.597949102986384,2,VB,VBP,9,12,1,do,6832,3.1323928721921153,21400.508102816533
of,13,7538,0.009604688943395024,6.702045393008464,2,IN,IN,6,8,1,of,6209,3.2703399154539374,20305.540535053497
nt,14,7240,0.009224986461950116,6.760237490702252,2,RB,RB,2,2,0,nt,6253,3.2601523299014716,20385.7325188739
in,15,6835,0.008708947854617271,6.843285850179398,2,IN,IN,6,8,1,in,5900,3.3439858926760397,19729.516766788634
what,16,6496,0.008277004427738668,6.916675555487644,4,WP,WP,7,7,1,what,5908,3.3420310210478164,19744.7192723505
no,17,5988,0.007629726372121173,7.034152966614403,2,DT,DT,11,16,1,no,4396,3.7685094608633745,16566.367589955393
we,18,5880,0.007492116076832415,7.0604110329490934,2,PR,PRP,7,10,1,we,4794,3.643470938163473,17466.79967755569
this,19,5876,0.007487019399229127,7.06139279211654,4,DT,DT,9,10,1,thi,5163,3.5364912490512457,18258.904318851583
on,20,5176,0.00659510081865384,7.244389570680313,2,IN,IN,4,5,1,on,4650,3.6874701309298494,17146.7361088238
me,21,5034,0.006414168763737139,7.2845219715118406,2,PR,PRP,5,7,1,me,4399,3.7675252459024815,16573.343556725016
have,22,5020,0.006396330392125633,7.288539823834686,4,VB,VBP,3,5,1,have,4460,3.7476571370049383,16714.550831042026
my,23,5017,0.006392507883923168,7.289402249908523,2,PR,PRP$,6,8,1,my,4232,3.82336121969858,16180.46468176439
just,24,4747,0.006048482145701271,7.369211138243388,4,RB,RB,5,8,1,just,4325,3.7920007144011563,16400.403089785003
m,25,4456,0.0056776988500621154,7.460477955332789,1,VB,VBP,4,6,1,m,3788,3.9832645163442204,15088.605987911908
know,26,4422,0.0056343770904341735,7.471528162856594,4,VB,VBP,5,9,0,know,3913,3.9364257369118114,15403.233908535918
not,27,4395,0.005599974516611984,7.480364022642053,3,RB,RB,6,8,1,not,3949,3.923213479352257,15492.770029962063
so,28,4384,0.005585958653202943,7.483979389712293,2,RB,RB,6,10,1,so,4013,3.90001969103261,15650.779020113865
for,29,4357,0.005551556079380754,7.492892074757652,3,IN,IN,4,4,1,for,3955,3.9210231524524515,15507.646567949445
oh,30,4247,0.0054113974452903515,7.529783079325418,2,UH,UH,12,16,0,oh,3940,3.926505217468867,15470.430556827336
are,31,4019,0.005120886821902972,7.609390610614075,3,VB,VBP,7,9,1,are,3616,4.050306169397418,14645.907108541063
was,32,3813,0.004858407925333673,7.685300656946705,3,VB,VBD,9,13,1,wa,3113,4.266395270343426,13281.288476579086
be,33,3594,0.00457936482655369,7.770636779162879,2,VB,VB,3,4,1,be,3177,4.237035757099113,13461.062600303881
your,34,3463,0.004412448635046029,7.8242048004755915,4,PR,PRP$,4,4,1,your,3061,4.290697802285614,13133.825972796263
he,35,3404,0.004337272640397541,7.848996150986857,2,PR,PRP,4,5,1,he,2562,4.547430371470959,11650.516611708597
with,36,3393,0.004323256776988501,7.853665757961844,4,IN,IN,3,4,1,with,3095,4.274761437710978,13230.386649715478
